都道府県番号,都道府県枝番,予選地区名,年代順,年代,公立普通校校数,公立普通校校数が全体に占める割合,公立実業校校数,公立実業校校数が全体に占める割合,私立校校数,私立校校数が全体に占める割合,公私の画期
25,0,滋賀,Ⅰ,1948～1960,19,73.1 ,7,26.9 ,0,0.0 ,
25,0,滋賀,Ⅱ,1961～1975,18,60.0 ,6,20.0 ,6,20.0 ,
25,0,滋賀,Ⅲ,1976～1990,17,56.7 ,5,16.7 ,8,26.7 ,
25,0,滋賀,Ⅳ,1991～2005,8,26.7 ,6,20.0 ,16,53.3 ,○
25,0,滋賀,Ⅴ,2006～2019,10,35.7 ,2,7.1 ,16,57.1 ,
25,0,滋賀,Ⅵ,2021,,,,,2,,
25,0,滋賀,計,計,72,49.3 ,26,17.8 ,48,32.9 ,
26,0,京都,Ⅰ,1948～1960,9,34.6 ,1,3.8 ,16,61.5 ,○
26,0,京都,Ⅱ,1961～1975,8,26.7 ,2,6.7 ,20,66.7 ,
26,0,京都,Ⅲ,1976～1990,7,23.3 ,1,3.3 ,22,73.3 ,
26,0,京都,Ⅳ,1991～2005,7,23.3 ,0,0.0 ,23,76.7 ,
26,0,京都,Ⅴ,2006～2019,3,10.7 ,2,7.1 ,23,82.1 ,
26,0,京都,Ⅵ,2021,,,,,2,,
26,0,京都,計,計,34,23.3 ,6,4.1 ,106,72.6 ,
27,0,大阪,Ⅰ,1948～1960,13,50.0 ,3,11.5 ,10,38.5 ,
27,0,大阪,Ⅱ,1961～1975,3,10.0 ,0,0.0 ,27,90.0 ,○
27,0,大阪,Ⅲ,1976～1990,4,13.3 ,0,0.0 ,26,86.7 ,
27,0,大阪,Ⅳ,1991～2005,3,9.4 ,0,0.0 ,29,90.6 ,
27,0,大阪,Ⅴ,2006～2019,1,3.1 ,0,0.0 ,31,96.9 ,
27,0,大阪,Ⅵ,2021,,,,,2,,
27,0,大阪,計,計,24,15.8 ,3,2.0 ,125,82.2 ,
28,0,兵庫,Ⅰ,1948～1960,14,53.8 ,3,11.5 ,9,34.6 ,
28,0,兵庫,Ⅱ,1961～1975,14,46.7 ,0,0.0 ,16,53.3 ,○
28,0,兵庫,Ⅲ,1976～1990,10,33.3 ,0,0.0 ,20,66.7 ,
28,0,兵庫,Ⅳ,1991～2005,3,9.4 ,5,15.6 ,24,75.0 ,
28,0,兵庫,Ⅴ,2006～2019,6,18.8 ,7,21.9 ,19,59.4 ,
28,0,兵庫,Ⅵ,2021,,,,,2,,
28,0,兵庫,計,計,47,30.9 ,15,9.9 ,90,59.2 ,
29,0,奈良,Ⅰ,1948～1960,13,50.0 ,6,23.1 ,7,26.9 ,
29,0,奈良,Ⅱ,1961～1975,11,36.7 ,10,33.3 ,9,30.0 ,
29,0,奈良,Ⅲ,1976～1990,11,36.7 ,1,3.3 ,18,60.0 ,○
29,0,奈良,Ⅳ,1991～2005,9,30.0 ,3,10.0 ,18,60.0 ,
29,0,奈良,Ⅴ,2006～2019,6,21.4 ,1,3.6 ,21,75.0 ,
29,0,奈良,Ⅵ,2021,,,1,,1,,
29,0,奈良,計,計,50,34.2 ,22,15.1 ,74,50.7 ,
30,0,和歌山,Ⅰ,1948～1960,23,88.5 ,3,11.5 ,0,0.0 ,
30,0,和歌山,Ⅱ,1961～1975,23,76.7 ,7,23.3 ,0,0.0 ,
30,0,和歌山,Ⅲ,1976～1990,20,66.7 ,7,23.3 ,3,10.0 ,
30,0,和歌山,Ⅳ,1991～2005,13,43.3 ,3,10.0 ,14,46.7 ,○
30,0,和歌山,Ⅴ,2006～2019,14,50.0 ,1,3.6 ,13,46.4 ,
30,0,和歌山,Ⅵ,2021,1,,,,1,,
30,0,和歌山,計,計,94,64.4 ,21,14.4 ,31,21.2 ,
31,0,岡山,Ⅰ,1948～1960,4,15.4 ,17,65.4 ,5,19.2 ,
31,0,岡山,Ⅱ,1961～1975,1,3.3 ,25,83.3 ,4,13.3 ,
31,0,岡山,Ⅲ,1976～1990,6,20.0 ,21,70.0 ,3,10.0 ,
31,0,岡山,Ⅳ,1991～2005,6,20.0 ,12,40.0 ,12,40.0 ,
31,0,岡山,Ⅴ,2006～2019,5,17.9 ,6,21.4 ,17,60.7 ,○
31,0,岡山,Ⅵ,2021,,,1,,1,,
31,0,岡山,計,計,22,15.1 ,82,56.2 ,42,28.8 ,
32,0,広島,Ⅰ,1948～1960,13,40.6 ,9,28.1 ,10,31.3 ,
32,0,広島,Ⅱ,1961～1975,3,10.0 ,9,30.0 ,18,60.0 ,○
